Channel,keV,Aluminium,Calcium,Iron,Magnesium,Oxygen,Silicon,Titanium,Potassium,Thorium,Uranium
36,1157.0,8.118897212249243e-05,9.632585838658654e-05,0.00020309211277345565,9.681734568499638e-05,9.143086589961445e-05,8.804737165079952e-05,6.115186262897163e-05,-0.0,0.0001981895411708288,-0.0
37,1174.8,8.611829395650839e-05,0.00010034174528683602,0.00016870484026434898,9.651375157877043e-05,9.760397320092648e-05,9.729134941383998e-05,6.180977021479517e-05,-0.0,0.00014318344554048457,-0.0
38,1192.6000000000001,8.262045592353884e-05,9.863176322785995e-05,0.00013703821731104538,0.00010285358473888264,9.94431543643627e-05,9.931240458526639e-05,5.52589505950828e-05,-0.0,9.661995732999856e-05,-0.0
39,1210.4,5.959260869721079e-05,7.475343826628923e-05,0.00014653255975744872,0.0005615630378795004,8.412530065611701e-05,8.416905674989734e-05,7.470107154952924e-05,-0.0,6.635484468724812e-05,-0.0
40,1228.2,3.118014497416135e-05,7.399098306082473e-05,0.00017915382775154817,0.0016003788480487547,0.00010920178735924393,8.472636371693282e-05,-0.0,-0.0,5.918902973283977e-05,-0.0
41,1246.0,6.580256902535187e-05,0.00011663720550370635,0.00047354927786583616,0.0007043949689266016,0.00018430743139300016,0.00024028250275871438,-0.0,-0.0,0.0003595840545252754,-0.0
42,1263.8,3.481340539093528e-05,7.392355152940348e-05,0.0003813916312252657,0.00025171439562542895,0.0003105628760122131,0.00031512172246497757,-0.0,-0.0,0.00048032381985809987,-0.0
43,1281.6000000000001,5.225526326253288e-05,4.1072775849040337e-05,0.00047050207818939585,0.00026034829851213134,0.00047300036171472057,0.0004148987181180553,-0.0,-0.0,0.0006392480251271557,-0.0
44,1299.4,0.00011145134435211749,5.831407480112146e-05,0.0006390028241414514,3.6766337978963325e-05,0.0006645532890140657,0.0006644598823471432,-0.0,-0.0,0.0008448669891067695,-0.0
45,1317.2,0.00015971987383686643,7.943835230996842e-05,0.0006118465826978098,-0.0,0.0007736024476656108,0.0009549014551395603,-0.0,-0.0,0.0010851333056110973,-0.0
46,1335.0,0.00017576040232881573,8.641098335712497e-05,0.000524762686616927,-0.0,0.0008601811967361751,0.0011149040180803574,-0.0,-0.0,0.0012338927069893986,-0.0
47,1352.8,0.00015773816011584,9.696349755708975e-05,0.0003524870645422832,-0.0,0.0009303150955140031,0.0013652160688265825,-0.0,-0.0,0.0013583690836054686,-0.0
